Net Status Report
Filename     : C:\Users\lance\Dropbox\Volt\hpbicontroller-rev1-0-2014-02-22\ControllerRevB\HPBIController.PcbDoc
Date         : 10/3/2019
Time         : 3:16:19 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    ETH_RX_CTRL_U, Signal Layers Only, 4.06mm
    ETH_TRCT1, Signal Layers Only, 3.4798mm
    ETH_TRCT2, Signal Layers Only, 6.9319mm
    ETH_TRCT3, Signal Layers Only, 2.2646mm
    ETH_TRCT4, Signal Layers Only, 1.9677mm
    ETH_TXD0, Signal Layers Only, 46.5587mm
    ETH_TXD1, Signal Layers Only, 43.5658mm
    ETH_TXD2, Signal Layers Only, 49.331mm
    ETH_TXD3, Signal Layers Only, 46.0113mm
    ETH_TX_CLK, Signal Layers Only, 333.4116mm
    ETH_TX_CTRL, Signal Layers Only, 43.2239mm
    ETH_XI, Signal Layers Only, 5.6274mm
    ETH_XO, Signal Layers Only, 8.4815mm
    FPGA_DONE, Signal Layers Only, 153.9677mm
    GND, Signal Layers Only, 1558.4772mm
    HEATER_EN, Signal Layers Only, 16.4867mm
    HEATER_SW, Signal Layers Only, 40.6287mm
    I2C0_SCL, Signal Layers Only, 259.4511mm
    I2C0_SDA, Signal Layers Only, 256.4334mm
    I2C1_SCL/MIO12, Signal Layers Only, 63.8446mm
    I2C1_SDA/MIO13, Signal Layers Only, 70.4645mm
    INIT_B, Signal Layers Only, 123.8904mm
    JTAG_RST_B, Signal Layers Only, 7.1528mm
    JTAG_TCK, Signal Layers Only, 43.2565mm
    JTAG_TDI, Signal Layers Only, 42.6393mm
    JTAG_TDO, Signal Layers Only, 42.1509mm
    JTAG_TMS, Signal Layers Only, 40.6688mm
    JTAG_VREF, Signal Layers Only, 21.1471mm
    LED_3.3V, Signal Layers Only, 2.3mm
    MIO15, Signal Layers Only, 21.7146mm
    MIO47, Signal Layers Only, 64.3056mm
    MIO_VREF, Signal Layers Only, 16.8725mm
    MUX_A0, Signal Layers Only, 2.6081mm
    MUX_A1, Signal Layers Only, 3.4169mm
    MUX_AB01, Signal Layers Only, 20.058mm
    MUX_AB02, Signal Layers Only, 18.1537mm
    MUX_AB03, Signal Layers Only, 14.9678mm
    MUX_AB04, Signal Layers Only, 25.1008mm
    MUX_AB05, Signal Layers Only, 12.3564mm
    MUX_AB06, Signal Layers Only, 20.6424mm
    MUX_AB07, Signal Layers Only, 16.6585mm
    MUX_AB08, Signal Layers Only, 15.4239mm
    MUX_AB09, Signal Layers Only, 27.1011mm
    MUX_AB10, Signal Layers Only, 30.2756mm
    MUX_AB11, Signal Layers Only, 29.0515mm
    MUX_AB12, Signal Layers Only, 31.976mm
    MUX_AB13, Signal Layers Only, 31.7852mm
    MUX_AB14, Signal Layers Only, 30.9553mm
    MUX_AB15, Signal Layers Only, 31.1598mm
    MUX_AB16, Signal Layers Only, 32.8285mm
    OSC, Signal Layers Only, 2.8867mm
    PG_1V, Signal Layers Only, 21.7795mm
    PG_1V5, Signal Layers Only, 23.2124mm
    PG_1V8, Signal Layers Only, 89.9651mm
    PG_5V, Signal Layers Only, 29.8421mm
    PHY_RESET_B_AND, Signal Layers Only, 55.3714mm
    POWER_GOOD, Signal Layers Only, 128.9183mm
    PROGRAM_B, Signal Layers Only, 16.4926mm
